CB Constituent ID,CB Constituent Type,CB First Name,CB Last Name,CB Company Name,CB Created At,CB Title,CB Tags,CB Background Information,CB Email 1 (Standardized),CB Email 2 (Standardized),CB Lifetime Donation Amount,CB Most Recent Donation Date,CB Most Recent Donation Amount
3953,Person,Kelly,Jimenez,,2018-02-16 00:00:00,,"Pitch Perfect, Major Donor, Student Scholar",Marital Status: Single,greg46@hotmail.com,gregoryschmidt@outlok.com,$10750,2024-05-04,$250
6366,Person,Julie,Mcgrath,,2020-09-13 00:00:00,Mrs.,"Major Donor, Camp 2016, Student Scholar",Job Title: Sales Executive; Marital Status: Unknown,bjones@hotmail.com,xavierwhite@arnold-taylor.net,$6000,2023-03-27,$500
4566,Company,,,"Banks, Watkins and Gomez",2018-12-09 00:00:00,,"Major Donor, Board Member",Job Title: Chief Technology Officer; Marital Status: Single,cynthiarogers@moore.info,,$11000,2023-02-06,$500
5418,Person,Nicholas,Johnson,,2015-12-21 00:00:00,Dr.,"Summer 2016, Major Donor, Board Member",Marital Status: Married,wustephanie@hotmail.com,,$11000,2021-03-21,$10000
3677,Company,,,duncan group,2015-04-14 00:00:00,,"Pitch Perfect, Summer 2016, Student Scholar",Marital Status: Single,april70@hernandez.biz,brownjames@harris-orozco.info,$13050,2022-06-01,$3000
6822,Person,Nicole,Benson,,2022-10-30 00:00:00,,"Major Donor, Student Scholar, Board Member",Job Title: UX Designer; Marital Status: Single,,,$10200,2023-05-14,$100
7564,Person,Connie,Lyons,,2017-09-23 00:00:00,Mrs.,,Marital Status: Married,yolson@gmaill.com,,$600,2022-07-29,$100
4036,Person,Grant,Brennan,,2018-11-27 00:00:00,Mr.,"Camp 2016, Summer 2016, Pitch Perfect, Major Donor, Student Scholar",Job Title: IT Consultant; Marital Status: Single,,,$15000,2020-12-08,$10000
9655,Person,Maria,Kelley,,2018-06-30 00:00:00,Ms.,"Pitch Perfect, Major Donor",Marital Status: Unknown,christopher66@gmail.com,garciamark@parker.info,$200,2021-11-26,$50
1459,Person,Katherine,Jones,,2022-08-06 00:00:00,,"Pitch Perfect, Major Donor, Camp 2016",Job Title: Software Engineer; Marital Status: Single,millersherry@gmaill.com,millernicole@stanley-harris.com,$25000,2021-04-28,$10000
8265,Person,Patricia,Curtis,,2019-09-24 00:00:00,Dr.,"Pitch Perfect, Major Donor, Camp 2016",Job Title: Project Manager; Marital Status: Married,lkelly@butler-bradford.biz,jessicaramirez@kim-clark.com,$8000,2019-07-06,$3000
2014,Person,Amanda,Kelley,,2016-11-10 00:00:00,Mr.,"Camp 2016, VIP, Pitch Perfect, Student Scholar, Board Member",Marital Status: Unknown,walkerlindsey@lewis.com,,$650,2022-03-01,$500
4862,Person,Cynthia,Mckinney,,2021-10-27 00:00:00,,"Pitch Perfect, Major Donor, Camp 2016",Job Title: HR Coordinator; Marital Status: Married,dwood@martinez.com,robynmooney@hotmail.com,$3600,2024-06-12,$500
8161,Person,Joshua,Gutierrez,,2021-09-19 00:00:00,Mr.,"Pitch Perfect, Major Donor, Summer 2016, Board Member",Job Title: Project Manager; Marital Status: Unknown,dwilliams@hotmail.com,,$1550,2022-08-20,$1000
4107,Person,Robert,Powers,,2023-02-26 00:00:00,Dr.,,Job Title: Administrative Assistant; Marital Status: Married,cooleyaustin@solis.com,,$5350,2021-08-02,$250
1102,Person,Michael,Munoz,,2019-06-17 00:00:00,,"Major Donor, Camp 2016, Board Member",Marital Status: Unknown,warrendaniel@gmail.com,xwilson@olsen-morgan.org,$5350,2023-11-30,$100
3203,Person,Joshua,Gonzales,,2022-11-10 00:00:00,,"Pitch Perfect, Major Donor, Camp 2016, Board Member",Job Title: Business Analyst; Marital Status: Single,katiecarr@daniels-olsen.com,,$11000,2020-09-25,$5000
6522,Person,Brian,Schmidt,,2019-10-01 00:00:00,,Student Scholar,Marital Status: Unknown,andrea62@gmail.com,gpayne@hotmail.com,$1100,2023-03-13,$500
4526,Person,Kaylee,Wagner,,,Dr.,"Pitch Perfect, Major Donor, Student Scholar, Camp 2016",Marital Status: Unknown,reeveslinda@underwood.com,,$400,2024-06-14,$100
3973,Person,Kyle,Parsons,,2021-09-01 00:00:00,Dr.,"Pitch Perfect, Camp 2016, Student Scholar, Summer 2016",Marital Status: Married,kaylaprice@york-vance.com,,$5150,2024-01-28,$50
9734,Person,Yvonne,Russell,,2021-02-25 00:00:00,,"Pitch Perfect, Summer 2016, Board Member",Marital Status: Unknown,victoria10@gmal.com,hansonchristine@hotmail.com,$15500,2022-10-29,$500
9153,Person,Erica,House,,2015-02-03 00:00:00,Mrs.,"Major Donor 2022, Student Scholar, Board Member",Marital Status: Married,deantravis@russo-nelson.org,burnsamber@luna-solis.net,$5100,2024-04-27,$5000
7103,Company,,,"Cross, Hutchinson and Vega",2023-07-30 00:00:00,,"Summer 2016, VIP, Pitch Perfect, Student Scholar, Board Member",Job Title: Accountant; Marital Status: Single,michellelane@cox.com,garystevens@yaho.com,$1500,2024-08-15,$1000
3561,Person,,,,2020-12-14 00:00:00,,,,campbellchristina@yahoo.com,fishermaureen@walsh-davis.info,$10000,2021-08-07,$10000
7963,Person,John,Stanton,,2015-04-24 00:00:00,Mrs.,"Pitch Perfect, Board Member",Marital Status: Unknown,daniel74@bryan.com,,$9500,2024-02-21,$5000
6801,Person,Troy,Perez,,2016-10-03 00:00:00,,"Pitch Perfect, Camp 2016, Summer 2016",Job Title: Marketing Manager; Marital Status: Unknown,thomaswelch@adams-castillo.com,james92@hotmail.com,$1100,2018-07-26,$1000
2085,Person,David,Smith,,2015-10-13 00:00:00,,"Pitch Perfect, Camp 2016, Summer 2016",Marital Status: Married,smalljessica@hotmail.com,tonyagutierrez@wheeler.com,$450,2021-04-17,$100
3927,Company,,,Allen-Stephens,2018-01-04 00:00:00,,"Major Donor, Camp 2016",Job Title: Administrative Assistant; Marital Status: Married,charles63@ramos.com,doughertyjesse@gmaill.com,$5750,2024-07-26,$5000
4651,Person,Julie,Davis,,2015-03-12 00:00:00,Mrs.,"Tag Test, Pitch Perfect, Camp 2016",Job Title: Sales Executive; Marital Status: Single,,,$8100,2022-01-07,$100
4039,Person,Hannah,Clark,,2022-11-14 00:00:00,,"Pitch Perfect, Major Donor, Camp 2016",Job Title: Operations Manager; Marital Status: Unknown,emilylopez@yahoo.com,brandy72@mcguire.net,$1250,2021-06-09,$250
2481,Person,James,Trujillo,,2024-06-23 00:00:00,,"Pitch Perfect, VIP",Job Title: Administrative Assistant; Marital Status: Single,carrie32@forbes.com,donald21@houston.com,$10600,2022-01-05,$10000
5321,Company,,,"Cook, Walls and Ryan",2015-12-24 00:00:00,,,Marital Status: Unknown,flowersdavid@hotmail.com,kevin68@gmal.com,$5150,2021-10-07,$5000
4615,Person,Laura,Jackson,,2022-07-22 00:00:00,,,Marital Status: Single,,,$10250,2023-10-29,$5000
9139,Person,Nicole,Chase,,2022-09-28 00:00:00,Ms.,"Summer 2016, Major Donor, Student Scholar",Marital Status: Married,victoria52@galvan.com,adrian20@chang.com,$750,2021-04-09,$500
1854,Person,Ricky,David,,2020-08-03 00:00:00,Dr.,"Pitch Perfect, Summer 2016, Student Scholar, Camp 2016",Marital Status: Single,mayertammy@collins-vasquez.org,stephaniewu@gmail.com,$15050,2023-02-02,$5000
2173,Person,Thomas,Meyers,,,Mr.,"Pitch Perfect, Major Donor",Job Title: Administrative Assistant; Marital Status: Unknown,lance98@hotmail.com,,$11100,2022-12-11,$10000
2936,Person,Natalie,Smith,,2016-11-10 00:00:00,Dr.,"Pitch Perfect, Major Donor",Marital Status: Unknown,lawrence72@olson.com,tsuarez@ford.net,$11100,2023-03-04,$100
3140,Person,Claudia,Chambers,,2023-09-11 00:00:00,,Pitch Perfect,Marital Status: Single,bday@odom-archer.com,,$5000,2023-06-10,$3000
5967,Person,Benjamin,Park,,2023-12-30 00:00:00,,,Job Title: Chief Technology Officer; Marital Status: Married,lisa94@wong.biz,marktorres@yahoo.com,$10250,2018-07-02,$5000
3446,Person,Wanda and james,Bryant,,2015-07-16 00:00:00,,Major Donor,Marital Status: Unknown,,,$200,2023-09-28,$100
9965,Person,Shane,Meza,,2015-09-05 00:00:00,,Student Scholar,Job Title: Nurse Practitioner; Marital Status: Married,kelly82@solomon.info,amber39@johnson.net,$5100,2024-10-20,$5000
2136,Person,Regina,Webb,,2020-12-19 00:00:00,Dr.,,Job Title: Marketing Manager; Marital Status: Married,brittney12@lee-williamson.org,qkoch@gmal.com,$200,2024-05-15,$100
2581,Person,Lori,Cummings,,2018-11-20 00:00:00,,,Job Title: Chief Technology Officer; Marital Status: Unknown,alyssagarcia@gmail.com,steven65@jackson.com,$10350,2024-09-27,$10000
2737,Person,Matthew,Nicholson,,2015-05-28 00:00:00,Dr.,"Major Donor, Summer 2016, Camp 2016",Marital Status: Unknown,,,$6000,2023-08-08,$5000
2433,Person,Dylan and anna,Adams,,,,"Pitch Perfect, Major Donor, Student Scholar, Board Member",Job Title: Software Engineer; Marital Status: Unknown,shelby30@olsen-oliver.com,johnbrown@gmail.com,$14000,2021-12-06,$1000
7358,Person,Amanda,James,,2016-05-11 00:00:00,,"Pitch Perfect, Summer 2016, Camp 2016",Job Title: Graphic Designer; Marital Status: Unknown,,,$1100,2022-01-24,$1000
6197,Person,Angela,Spencer,,2024-11-27 00:00:00,Mr.,"Pitch Perfect, Camp 2016, Tag Test, Major Donor, Student Scholar",Marital Status: Married,antoniomalone@gmail.com,xjackson@hotmail.com,$200,2022-11-04,$50
2596,Person,Shelia,Yates,,2015-08-31 00:00:00,Mrs.,"Major Donor 2022, Student Scholar",Job Title: Administrative Assistant; Marital Status: Unknown,,,,,
9821,Company,,,Gutierrez Group,2020-08-22 00:00:00,,"Pitch Perfect, Major Donor, Camp 2016",Marital Status: Unknown,klinejose@gmail.com,brittanybenson@galvan.com,,,
2686,Person,Jason,Kramer,,2023-06-13 00:00:00,Dr.,"Major Donor, Camp 2016, Board Member",Marital Status: Unknown,oarmstrong@gmail.com,,,,
4646,Person,Jon,Hunter,,2019-01-30 00:00:00,Mr.,"Pitch Perfect, Camp 2016, Student Scholar, Summer 2016",Job Title: Nurse Practitioner; Marital Status: Single,edward64@hotmail.com,watsonzachary@gonzalez-ochoa.com,,,
4944,Person,Christopher,Schneider,,2023-04-14 00:00:00,,"Camp 2016, Board Member",Job Title: Marketing Manager; Marital Status: Married,gdickerson@gmal.com,,,,
2382,Person,Mark,Peters,,2018-05-21 00:00:00,Mrs.,"Pitch Perfect, Major Donor, Board Member",Job Title: IT Consultant; Marital Status: Single,,,,,
6816,Person,Jennifer,Hancock,,,Mr.,"Pitch Perfect, Major Donor, Summer 2016",Job Title: UX Designer; Marital Status: Single,kharris@yahoo.com,calhouneric@yahoo.com,$5000,2019-11-04,$5000
6586,Person,Margaret,Moore,,2016-08-01 00:00:00,,,Marital Status: Unknown,rubenwelch@yahoo.com,kevinmoore@jackson.com,$3500,2022-12-01,$3000
7022,Person,Melissa,Harrison,,2019-08-30 00:00:00,,Major Donor,Job Title: Accountant; Marital Status: Single,ujackson@reed-perez.com,mmckinney@yahoo.com,$5250,2024-09-19,$250
6605,Person,James,Trujillo,,2023-06-28 00:00:00,Mrs.,"Pitch Perfect, Major Donor, Summer 2016, Camp 2016",Marital Status: Unknown,wesleyjones@gibson.com,jamesharrison@ray-sherman.com,$1250,2021-10-14,$250
4668,Person,Cole,White,,2024-02-28 00:00:00,Dr.,"Pitch Perfect, Major Donor, Tag Test",Job Title: Project Manager; Marital Status: Married,ereese@hotmail.com,powellrebecca@powell.biz,$13000,2021-10-07,$3000
8361,Person,Sarah,Franco,,,,Summer 2016,Job Title: Accountant; Marital Status: Unknown,umalone@yahoo.com,daltonmichael@gmaill.com,$3300,2021-05-20,$50
7369,Person,Dawn,Lindsey,,2024-03-28 00:00:00,Ms.,"Pitch Perfect, Major Donor, Board Member",Job Title: Administrative Assistant; Marital Status: Unknown,jacob66@yahoo.com,snydertanya@smith.biz,$3200,2024-04-19,$100
1825,Person,April,Barber,,2016-11-07 00:00:00,Mr.,Student Scholar,Marital Status: Single,javierperez@davis.com,jon30@tate.biz,$11500,2021-09-10,$10000
1348,Person,Robert & emily,Patton,,2016-12-12 00:00:00,,,Marital Status: Single,thomassamuel@gmaill.com,,$3600,2023-03-18,$100
1550,Person,Laura,Harrison,,2017-12-07 12:34:00,,"Major Donor, Student Scholar, Board Member",Marital Status: Unknown,harrypatterson@yahoo.com,,$20100,2024-12-28,$10000
3506,Person,Jason,Moore,,2015-03-27 00:00:00,,,Marital Status: Unknown,traciemcpherson@palmer.com,,$5500,2023-02-15,$5000
3141,Person,Jennifer,Juarez,,2022-01-30 00:00:00,,Student Scholar,Marital Status: Married,xhubbard@garcia.biz,simpsonluis@williams.com,$10150,2022-12-08,$10000
7497,Person,Jennifer,Luna,,2019-02-09 09:30:00,Dr.,"Summer 2016, Camp 2016",Marital Status: Unknown,robertmunoz@hotmail.com,,$4050,2020-10-31,$1000
